"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","UCE-2703","MIX{TVMe,JC+FO,K80+FO}+I+R2","I+R2",-13568.9256,-9010.238,"TVMe{0.701846,0.796808,0.0001,1.24738}+FQ;JC;K2P{5.3241}+FQ",27223.8512,27226.7687,27447.5016,"Mixture",1341,18,0.169276659209545,"62.86%",1126,10,0.3333,33.6983,6.8149,17.6635,81.0499,NA,"7.1238","2.5308","0.3553","0.0029","0.0398","0.1398","0.2156","0.2621","0.9262"
"One_class","UCE-2703","TVMe+I+G4","I+G4",-13588.599,-9010.238,"TVMe{0.8345,2.4114,0.3741,0.9919,2.4114,1}+I{0.25,0.25,0.25,0.25}",27255.198,27257.5962,27458.0437,"Mixture",1341,18,0.169276659209545,"62.86%",1126,10,0.3333,33.7456,6.8258,17.6635,81.0833,NA,"7.1154","2.4796","0.3485","0.003","0.0386","0.1378","0.2159","0.2511","1.0012"
"Mixture","UCE-2676","HKY+FO+G4","G4",-9820.2301,-6990.9408,"HKY{1,3.4973,1,1,3.4973,1}+FO{0.3664,0.1697,0.1951,0.2688}",19844.4603,19864.8405,20357.8779,"Mixture",1134,50,0.294532627865961,"53.26%",841,70,0.7447,78.7641,9.4043,127.0787,215.1607,NA,"4.1212","1.9203","0.466","0","0","0.02","0.043","0.0496","0.4201"
"One_class","UCE-2676","TPM3u+F+I+G4","I+G4",-9818.6226,-6990.9408,"TPM3u{1.3012,3.9151,1,1.3012,3.9151,1}+F{0.3626,0.1573,0.1882,0.2919}",19845.2452,19866.4697,20368.7299,"Mixture",1134,50,0.294532627865961,"53.26%",841,70,0.7447,78.7398,9.3997,128.3589,215.1514,NA,"4.1691","1.9408","0.4655","0","0","0.023","0.0425","0.049","0.4291"
"Mixture","UCE-268","HKY+FO+G4","G4",-7004.0769,-5858.28,"HKY{1,3.8669,1,1,3.8669,1}+FO{0.2692,0.2024,0.2065,0.3219}",14276.1538,14317.74,14934.4613,"One_class",1005,66,0.428855721393035,"34.53%",615,110,0.873,98.683,10.4316,334.2155,285.3418,NA,"6.8134","0.9938","0.1459","0","0","0.0087","0.0523","0.0209","4.2202"
"One_class","UCE-268","HKY+F+G4","G4",-7003.7668,-5858.28,"HKY{1,3.8375,1,1,3.8375,1}+F{0.249,0.2034,0.2198,0.3278}",14275.5335,14317.1198,14933.8411,"One_class",1005,66,0.428855721393035,"34.53%",615,106,0.8413,98.4878,10.4124,364.9288,285.3873,NA,"6.7443","1.0206","0.1513","0","0","0.0087","0.0528","0.0213","4.2896"
"Mixture","UCE-2710","HKY+FO+R2","R2",-10241.5307,-8525.8512,"HKY{1,3.2755,1,1,3.2755,1}+FO{0.31,0.1831,0.1961,0.3107}",20537.0615,20538.2263,20677.1894,"Mixture",1326,12,0.254147812971342,"49.10%",1000,8,0.4444,27.398,7.2499,11.6619,53.1313,NA,"3.2649","1.2454","0.3815","0.0097","0.06","0.1177","0.1553","0.2111","0.4512"
"One_class","UCE-2710","HKY+F+R2","R2",-10242.5971,-8525.8512,"HKY{1,3.2993,1,1,3.2993,1}+F{0.3205,0.1771,0.1935,0.3089}",20539.1942,20540.3591,20679.3221,"Mixture",1326,12,0.254147812971342,"49.10%",1000,8,0.4444,27.4022,7.2509,11.6619,53.1391,NA,"3.2603","1.2439","0.3815","0.0097","0.0595","0.1177","0.1555","0.2117","0.4514"
"Mixture","UCE-2713","HKY+FO+G4","G4",-9260.4837,-7474.0962,"HKY{1,3.3937,1,1,3.3937,1}+FO{0.2992,0.1524,0.206,0.3423}",18576.9674,18578.2953,18720.6773,"Mixture",1252,13,0.300319488817891,"43.77%",827,2,0.1,29.3019,8.0497,6,57.6806,NA,"2.4224","0.8406","0.347","0.0144","0.0253","0.0763","0.1054","0.1545","0.3161"
"One_class","UCE-2713","HKY+F+G4","G4",-9261.5939,-7474.0962,"HKY{1,3.4105,1,1,3.4105,1}+F{0.3076,0.145,0.2089,0.3385}",18579.1877,18580.5156,18722.8976,"Mixture",1252,13,0.300319488817891,"43.77%",827,2,0.1,29.3002,8.0493,6,57.6769,NA,"2.4237","0.8416","0.3472","0.0146","0.0253","0.0762","0.1053","0.1546","0.3155"
"Mixture","UCE-2715","MIX{TPM2u+FO,JC+FO}+R2","R2",-9973.6635,-7956.7546,"TPM2u{0.762419,2.9311}+FO{0.343408,0.164332,0.155686,0.336574};JC",20001.327,20002.5366,20140.4594,"Mixture",1278,11,0.235524256651017,"51.10%",941,8,0.5,22.0766,6.7329,10.0995,41.003,NA,"3.542","1.1165","0.3152","0.0228","0.06","0.1472","0.1809","0.2408","0.622"
"One_class","UCE-2715","TPM2u+F+R2","R2",-9977.9963,-7956.7546,"TPM2u{0.7212,2.3319,0.7212,1,2.3319,1}+F{0.3292,0.1763,0.1605,0.3339}",20007.9926,20009.1149,20141.9719,"Mixture",1278,11,0.235524256651017,"51.10%",941,8,0.5,22.1726,6.7696,10.0995,41.2164,NA,"3.4364","1.086","0.316","0.0195","0.0599","0.1492","0.1864","0.2462","0.6534"
"Mixture","UCE-2714","MIX{HKY+FO,JC+FO}+I+G","I+G4",-8508.7292,-6580.7367,"HKY{4.09369}+FO{0.307265,0.188941,0.18881,0.314984};JC",17101.4585,17104.6521,17314.3217,"Mixture",1174,19,0.351788756388416,"40.46%",743,10,0.3125,35.4677,8.2232,22.891,76.9136,NA,"2.9529","0.7061","0.2391","0","0.0097","0.019","0.0827","0.1304","0.5193"
"One_class","UCE-2714","HKY+F+I+G4","I+G4",-8514.4904,-6580.7367,"HKY{1,3.2096,1,1,3.2096,1}+F{0.3096,0.193,0.1992,0.2981}",17110.9808,17114.0232,17318.7758,"Mixture",1174,19,0.351788756388416,"40.46%",743,8,0.25,35.5228,8.2337,13.784,77.0532,NA,"2.8953","0.6916","0.2389","0","0.0096","0.0202","0.0844","0.1323","0.537"
"Mixture","UCE-2698","HKY+FO+G4","G4",-10071.297,-6630.9897,"HKY{1,4.0044,1,1,4.0044,1}+FO{0.2846,0.1835,0.2193,0.3127}",20406.594,20445.8253,21058.0629,"Mixture",1028,65,0.292801556420233,"52.43%",819,80,0.6452,94.8671,10.1835,188.6743,267.5718,NA,"4.7634","1.6103","0.3381","0","0.0073","0.0228","0.0376","0.0474","0.3027"
"One_class","UCE-2698","HKY+F+G4","G4",-10074.928,-6630.9897,"HKY{1,3.9821,1,1,3.9821,1}+F{0.297,0.1801,0.233,0.2899}",20413.8559,20453.0872,21065.3248,"Mixture",1028,65,0.292801556420233,"52.43%",819,80,0.6452,94.8337,10.1818,182.033,267.6155,NA,"4.7755","1.5981","0.3346","0","0.0075","0.0227","0.0375","0.0465","0.302"
"Mixture","UCE-2694","TVM+FO+G4","G4",-7906.3862,-6141.2439,"TVM{0.8401,2.9009,0.4533,1.5872,2.9009,1}+FO{0.3512,0.1781,0.1402,0.3305}",16082.7724,16122.1715,16754.2007,"Mixture",1068,65,0.430711610486891,"38.48%",667,90,0.7258,96.8066,10.3832,156.5695,279.2552,NA,"2.8981","1.212","0.4182","0","0","0.0112","0.0228","0.029","0.1695"
"One_class","UCE-2694","TVM+F+G4","G4",-7907.8998,-6141.2439,"TVM{0.9322,3.0521,0.468,1.6971,3.0521,1}+F{0.3521,0.1663,0.1478,0.3338}",16085.7996,16125.1987,16757.2279,"Mixture",1068,65,0.430711610486891,"38.48%",667,94,0.7581,96.8142,10.384,164.7058,279.277,NA,"2.8893","1.2077","0.418","0","0","0.0112","0.0228","0.0291","0.1695"
"Mixture","UCE-2718","TPM3u+FO+I+G4","I+G4",-10556.8048,-7441.8246,"TPM3u{1.3402,3.2047,1,1.3402,3.2047,1}+FO{0.2912,0.182,0.1869,0.3399}",21197.6096,21200.6526,21412.43,"Mixture",1230,19,0.285365853658537,"53.66%",896,4,0.125,37.5551,7.2606,8.2462,96.0798,NA,"3.233","1.3758","0.4255","0","0.0216","0.0487","0.0928","0.0881","0.6675"
"One_class","UCE-2718","TIM3+F+I+G4","I+G4",-10554.0869,-7441.8246,"TIM3{1.3104,3.6109,1,1.3104,2.8044,1}+F{0.2785,0.1906,0.1824,0.3485}",21194.1739,21197.3644,21414.1089,"Mixture",1230,19,0.285365853658537,"53.66%",896,4,0.125,37.541,7.2582,8.2462,96.0322,NA,"3.248","1.3855","0.4266","0","0.0216","0.0486","0.0924","0.0882","0.6636"
"Mixture","UCE-2708","TPM3u+FO+I+R2","I+R2",-8179.4109,-6058.8242,"TPM3u{1.9691,4.2579,1,1.9691,4.2579,1}+FO{0.3073,0.1661,0.1841,0.3425}",16544.8217,16562.1669,17010.2757,"One_class",1102,48,0.443738656987296,"41.11%",649,66,0.8049,70.7778,9.0547,136.1029,184.7999,NA,"2.9287","0.9807","0.3349","0","0","0.0096","0.0324","0.046","0.2388"
"One_class","UCE-2708","TIM3+F+G4","G4",NA,NA,"TIM3{2.1841,3.7476,1,2.1841,5.6527,1}+F{0.337,0.1471,0.1924,0.3235}",-6058.8242,92,16560.0932,"One_class",1102,48,0.443738656987296,"41.11%",649,64,0.7805,70.8459,9.0741,174.777,184.8442,NA,"2.7517","0.9152","0.3326","0","0","0.0119","0.0345","0.0473","0.2416"
"Mixture","UCE-2700","HKY+FO+I+G4","I+G4",-10391.7361,-7029.3569,"HKY{1,3.017,1,1,3.017,1}+FO{0.3287,0.2035,0.1909,0.2768}",20945.4723,20957.841,21354.7427,"Mixture",1156,40,0.288927335640138,"57.79%",837,52,0.7222,65.0611,8.9986,102.898,164.4927,NA,"4.0086","2.0376","0.5083","0","0","0.021","0.0535","0.0644","0.5786"
"One_class","UCE-2700","HKY+F+I+G4","I+G4",-10399.0813,-7029.3569,"HKY{1,3.0523,1,1,3.0523,1}+F{0.3493,0.1809,0.1899,0.2799}",20960.1626,20972.5313,21369.433,"Mixture",1156,40,0.288927335640138,"57.79%",837,54,0.75,65.2059,9.0005,113.0575,164.2755,NA,"4.0124","1.9421","0.484","0","0","0.0205","0.0534","0.0719","0.5823"
"Mixture","UCE-2678","TPM3u+FO+R3","R3",-10018.6009,-6795.3852,"TPM3u{1.4913,3.5986,1,1.4913,3.5986,1}+FO{0.3099,0.1846,0.1808,0.3247}",20285.2017,20317.6625,20903.3066,"Mixture",1080,59,0.300925925925926,"48.33%",815,82,0.7321,88.7829,9.832,162.6346,249.8584,NA,"5.6516","2.1137","0.374","0","0","0.0272","0.0488","0.0559","0.767"
"One_class","UCE-2678","TPM2u+F+R3","R3",-10039.5755,-6795.3852,"TPM2u{0.6853,2.4356,0.6853,1,2.4356,1}+F{0.3283,0.205,0.1383,0.3285}",20327.151,20359.6117,20945.2558,"Mixture",1080,59,0.300925925925926,"48.33%",815,90,0.8036,88.9393,9.8253,159.925,248.9119,NA,"5.6082","2.1192","0.3779","0","0","0.0278","0.0491","0.0568","0.7459"
"Mixture","UCE-2729","TIM3+FO+I+G4","I+G4",-12603.3393,-9166.2516,"TIM3{1.5536,3.9754,1,1.5536,2.9485,1}+FO{0.2629,0.1775,0.1643,0.3953}",25288.6785,25291.243,25503.2502,"Mixture",1385,18,0.233935018050542,"55.23%",1128,4,0.1333,35.6018,7.081,10.6301,90.9266,NA,"3.5709","1.3786","0.3861","0.005","0.0424","0.0679","0.1081","0.1253","0.3648"
"One_class","UCE-2729","TIM3+F+I+G4","I+G4",-12603.8897,-9166.2516,"TIM3{1.5676,4.1076,1,1.5676,2.8818,1}+F{0.2588,0.1796,0.1587,0.4028}",25289.7794,25292.3438,25504.3511,"Mixture",1385,18,0.233935018050542,"55.23%",1128,4,0.1333,35.6068,7.0819,10.6301,90.937,NA,"3.5658","1.3766","0.3861","0.005","0.0425","0.068","0.1082","0.1256","0.3652"
"Mixture","UCE-2732","K2P+G4","G4",-981.9094,-936.4317,"K2P{1,2.6271,1,1,2.6271,1}+G4{0.25,0.25,0.25,0.25}",2141.8188,2232.8415,2460.75,"One_class",266,46,0.736842105263158,"9.77%",97,66,0.7857,75.3256,10.6058,143.708,192.6815,NA,"0.4085","0.112","0.2742","0","0","0","0.0048","0.0041","0.0893"
"One_class","UCE-2732","K2P+R2","R2",-976.8644,-936.4317,"K2P{1,2.8354,1,1,2.8354,1}+R2{0.25,0.25,0.25,0.25}",2133.7289,2227.3289,2456.2435,"One_class",266,46,0.736842105263158,"9.77%",97,72,0.8571,75.3147,10.6046,126.3566,192.7248,NA,"0.4187","0.1099","0.2625","0","0","0","0.0047","0.0042","0.084"
"Mixture","UCE-2707","HKY+FO+I+G4","I+G4",-10939.2462,-6672.9655,"HKY{1,2.7305,1,1,2.7305,1}+FO{0.3235,0.1884,0.1923,0.2958}",22092.4924,22116.7697,22623.8569,"Mixture",1060,52,0.242452830188679,"59.91%",839,60,0.6122,79.69,9.5581,115.8965,220.6979,NA,"6.0375","2.2739","0.3766","0","9e-04","0.0325","0.0573","0.0862","0.4292"
"One_class","UCE-2707","TVM+F+I+G4","I+G4",-10944.5757,-6672.9655,"TVM{0.8575,2.2353,0.5409,1.1665,2.2353,1}+F{0.3707,0.1611,0.1648,0.3033}",22109.1513,22134.8837,22655.414,"Mixture",1060,52,0.242452830188679,"59.91%",839,62,0.6327,79.8842,9.5816,117.4734,221.436,NA,"5.7906","2.1839","0.3771","0","1e-04","0.0353","0.0598","0.0857","0.4461"
"Mixture","UCE-2728","MIX{K3Pu+FO,SYM+FO,F81+FO,K81+FO}+G","G4",-10007.5219,-8227.9528,"K3Pu{2.11399,0.823212}+FO{0.0564381,0.656319,0.0915457,0.195697};SYM{0.00929238,4.47307,0.205748,3.42478,0.831345}+FQ;F81+FO{0.0650749,0.0490306,0.868187,0.0177073};K3P{0.49118,0.0505693}+FQ",20111.0437,20114.8775,20358.315,"Mixture",1276,16,0.290752351097179,"46.08%",968,6,0.2308,31.708,6.9709,17.088,80.0568,NA,"4.8306","1.419","0.2938","0.0078","0.0232","0.0723","0.1083","0.1811","0.336"
"One_class","UCE-2728","K3Pu+F+G4","G4",-10098.9617,-8227.9528,"K3Pu{1,2.0999,0.6225,0.6225,2.0999,1}+F{0.1696,0.2909,0.3424,0.1972}",20267.9234,20269.9557,20448.2254,"Mixture",1276,16,0.290752351097179,"46.08%",968,6,0.2308,33.1484,7.2797,11.2694,84.4519,NA,"3.1404","0.762","0.2426","0","0.0337","0.0906","0.1666","0.2537","0.5086"
"Mixture","UCE-2719","TPM3u+FO+G4","G4",-6102.2453,-4687.139,"TPM3u{1.5133,4.0204,1,1.5133,4.0204,1}+FO{0.2985,0.1784,0.192,0.3311}",12378.4906,12398.0712,12793.3495,"Mixture",870,43,0.386206896551724,"39.08%",504,58,0.7436,68.4498,9.609,140.3567,162.5551,NA,"5.0505","1.1846","0.2346","0","0","0.0141","0.0617","0.0446","2.3863"
"One_class","UCE-2719","TPM3u+F+G4","G4",-6109.3949,-4687.139,"TPM3u{1.8416,4.4473,1,1.8416,4.4473,1}+F{0.2802,0.1714,0.1724,0.376}",12392.7897,12412.3703,12807.6486,"Mixture",870,43,0.386206896551724,"39.08%",504,58,0.7436,68.8297,9.626,124.0967,162.5059,NA,"5.0005","1.28","0.256","0","0","0.0143","0.0624","0.0462","2.3961"
"Mixture","UCE-2733","MIX{TPM2u+FO,TPM3u+FO}+G","G4",-7786.5308,-6250.6225,"TPM2u{0.176645,1.24913}+FO{0.238108,0.396328,0.0209797,0.344584};TPM3u{2.47199,3.14372}+FO{0.328273,0.111915,0.251391,0.30842}",15767.0616,15786.3827,16250.7586,"Mixture",1082,44,0.372458410351201,"35.95%",688,48,0.5854,72.0955,10.0677,96.8917,177.131,NA,"4.0451","0.9594","0.2372","0","0.0096","0.0266","0.0452","0.049","0.4855"
"One_class","UCE-2733","HKY+F+G4","G4",-7820.7522,-6250.6225,"HKY{1,3.1194,1,1,3.1194,1}+F{0.281,0.2139,0.1816,0.3235}",15821.5044,15838.0331,16270.2954,"Mixture",1082,44,0.372458410351201,"35.95%",688,48,0.5854,72.2664,10.0933,111.7676,177.464,NA,"3.8387","0.9092","0.2369","0","0.0107","0.029","0.0476","0.0523","0.5081"
"Mixture","UCE-273","HKY+FO+R2","R2",-5099.0876,-4672.0666,"HKY{1,3.5301,1,1,3.5301,1}+FO{0.3145,0.2115,0.2036,0.2703}",10424.1753,10458.0307,10963.6626,"Mixture",875,55,0.475428571428571,"24.91%",459,86,0.8269,83.6779,10.2057,231.8189,211.5524,NA,"3.3357","0.4786","0.1435","0","0","0.009","0.031","0.0212","1.7174"
"One_class","UCE-273","TN+F+R2","R2",-5099.1136,-4672.0666,"TN{1,3.0025,1,1,4.2358,1}+F{0.3293,0.1962,0.2271,0.2475}",10426.2272,10460.7272,10970.4887,"Mixture",875,55,0.475428571428571,"24.91%",459,90,0.8654,83.7406,10.2067,172.7021,211.5855,NA,"3.3121","0.4871","0.1471","0","0","0.0091","0.0312","0.0207","1.7469"
"Mixture","UCE-2731","TVM+FO+G4","G4",-7235.0552,-5808.0322,"TVM{0.8715,2.9833,0.4194,1.5241,2.9833,1}+FO{0.3352,0.1624,0.1763,0.3261}",14712.1103,14744.5187,15309.8772,"Mixture",1033,58,0.450145208131655,"36.88%",618,92,0.8364,90.0383,10.279,166.6763,257.1278,NA,"2.6547","0.9487","0.3574","0","0","0.0121","0.0233","0.032","0.1983"
"One_class","UCE-2731","TVM+F+G4","G4",-7239.1283,-5808.0322,"TVM{0.9383,3.0757,0.4163,1.6444,3.0757,1}+F{0.3458,0.146,0.1815,0.3266}",14720.2566,14752.665,15318.0235,"Mixture",1033,58,0.450145208131655,"36.88%",618,94,0.8545,90.1798,10.293,171.4089,257.0753,NA,"2.6283","0.9841","0.3744","0","0","0.0119","0.0235","0.0323","0.1986"
"Mixture","UCE-2697","MIX{TPM3u+FO,TPM2u+FO,JC+FO}+I+G","I+G4",-10789.9492,-6302.9033,"TPM3u{3.06839,8.12462}+FO{0.261568,0.105519,0.23907,0.393844};TPM2u{0.171052,3.31905}+FO{0.372424,0.361855,0.0538882,0.211833};JC",21905.8984,21969.9271,22705.6994,"Mixture",999,76,0.269269269269269,"56.46%",790,102,0.6986,111.2747,11.0483,184.9324,328.9618,NA,"5.102","1.8422","0.3611","0","0.0037","0.0175","0.032","0.0415","0.2262"
"One_class","UCE-2697","TPM3u+F+I+G4","I+G4",-10832.1928,-6302.9033,"TPM3u{1.5644,5.4701,1,1.5644,5.4701,1}+F{0.2935,0.1895,0.1867,0.3302}",21976.3856,22034.5614,22741.8394,"Mixture",999,76,0.269269269269269,"56.46%",790,106,0.726,111.4713,11.0809,219.0685,330.487,NA,"4.7751","1.6907","0.3541","0","0.0034","0.0172","0.0342","0.0416","0.2756"
"Mixture","UCE-2739","HKY+FO+I+G4","I+G4",-5938.456,-5336.8235,"HKY{1,4.0154,1,1,4.0154,1}+FO{0.2918,0.1698,0.2053,0.3331}",12050.912,12065.778,12487.5908,"Mixture",1118,44,0.554561717352415,"29.07%",491,60,0.7692,68.7939,9.2798,131.8825,189.2531,NA,"1.6466","0.7468","0.4535","0","0","0.0037","0.0199","0.0149","0.3493"
"One_class","UCE-2739","TPM3u+F+I+G4","I+G4",-5938.2863,-5336.8235,"TPM3u{1.5846,4.8565,1,1.5846,4.8565,1}+F{0.2972,0.1526,0.1917,0.3586}",12052.5725,12067.7951,12494.2706,"Mixture",1118,44,0.554561717352415,"29.07%",491,60,0.7692,68.8748,9.2872,104.3887,189.3132,NA,"1.6103","0.7297","0.4531","0","0","0.0037","0.0203","0.015","0.3632"
"Mixture","UCE-2690","MIX{K3Pu+FO,K80+FO}+G","G4",-7922.1466,-6134.8032,"K3Pu{1.83057,0.0823308}+FO{0.482866,0.0741961,0.0903752,0.352563};K2P{4.10145}+FQ",16118.2932,16160.447,16795.3686,"Mixture",1035,66,0.394202898550725,"41.64%",680,110,0.873,98.2386,10.4815,210.4685,287.0986,NA,"2.5226","0.9475","0.3756","0","0","0.0077","0.0187","0.0241","0.215"
"One_class","UCE-2690","TIM+F+G4","G4",-7936.7083,-6134.8032,"TIM{1,2.5896,0.6368,0.6368,3.3653,1}+F{0.3387,0.1742,0.2148,0.2722}",16145.4166,16186.9133,16817.5499,"Mixture",1035,66,0.394202898550725,"41.64%",680,104,0.8254,98.1574,10.4787,209.8094,288.05,NA,"2.4093","0.8992","0.3732","0","0","0.0084","0.0196","0.027","0.2419"
"Mixture","UCE-2753","MIX{K2P,JC+FO}+R2","R2",-9162.1169,-9153.1821,"K2P{7.03313}+FQ;JC",18366.2339,18366.9039,18476.3776,"Mixture",1401,10,0.277658815132049,"45.54%",1059,8,0.5714,23.5549,8.3191,9.3808,41.6889,NA,"3.8742","1.4856","0.3835","0.0433","0.069","0.1255","0.2114","0.3916","0.5438"
"One_class","UCE-2753","K2P+R2","R2",-9171.8597,-9153.1821,"K2P{1,2.9446,1,1,2.9446,1}+R2{0.25,0.25,0.25,0.25}",18383.7195,18384.3282,18488.6183,"Mixture",1401,10,0.277658815132049,"45.54%",1059,8,0.5714,23.7123,8.3978,9.3808,42.3179,NA,"3.5938","1.3468","0.3748","0.0385","0.0795","0.1209","0.2279","0.434","0.6044"
"Mixture","UCE-2740","TPM3+G4","G4",-7504.87,-4677.0911,"TPM3{1.5341,4.8169,1,1.5341,4.8169,1}+G4{0.25,0.25,0.25,0.25}",15225.74,15258.854,15734.3449,"Mixture",820,54,0.4,"45.73%",541,66,0.6471,74.5897,8.707,165.6623,181.9085,NA,"7.4926","2.6563","0.3545","0","0.0125","0.0365","0.0713","0.1009","0.4431"
"One_class","UCE-2740","TPM3+G4","G4",-7504.8702,-4677.0911,"TPM3{1.5358,4.8141,1,1.5358,4.8141,1}+G4{0.25,0.25,0.25,0.25}",15225.7404,15258.8543,15734.3452,"Mixture",820,54,0.4,"45.73%",541,66,0.6471,74.5905,8.7072,166.9132,181.9119,NA,"7.4914","2.656","0.3545","0","0.0125","0.0365","0.0714","0.1009","0.4432"
"Mixture","UCE-2736","MIX{HKY+FO,TPM3+FO,HKY+FO}+I+G","I+G4",-9499.1946,-5947.5903,"HKY{3.58259}+FO{0.180244,0.0710089,0.166214,0.582533};TPM3{1.54177,5.14957}+FQ;HKY{7.02973}+FO{0.605511,0.161083,0.0360051,0.197401}",19228.3892,19259.9258,19788.3258,"Mixture",962,52,0.287941787941788,"56.34%",739,54,0.551,79.3338,9.2901,115.931,215.6759,NA,"5.8085","2.1935","0.3776","0","0.0059","0.0303","0.0496","0.0617","0.2959"
"One_class","UCE-2736","TPM2u+F+I+G4","I+G4",-9533.7717,-5947.5903,"TPM2u{0.6346,2.4271,0.6346,1,2.4271,1}+F{0.3258,0.183,0.1657,0.3255}",19283.5434,19311.1448,19809.3969,"Mixture",962,52,0.287941787941788,"56.34%",739,54,0.551,79.8,9.3616,115.2519,219.4412,NA,"5.0136","1.8539","0.3698","0","0.0049","0.0355","0.0575","0.0703","0.3515"
"Mixture","UCE-2742","MIX{K3Pu+FO,HKY+FO}+I+G","I+G4",-8080.8,-6807.4314,"K3Pu{2.16847,0.0001}+FO{0.0180383,0.197734,0.142011,0.642216};HKY{2.83582}+FO{0.399579,0.172862,0.193263,0.234296}",16431.5999,16470.1713,17105.5329,"Mixture",1088,63,0.385110294117647,"40.72%",755,74,0.6167,97.5423,10.5339,158.1455,283.3522,NA,"2.6456","1.0323","0.3902","0","0.0043","0.0114","0.0212","0.0275","0.2269"
"One_class","UCE-2742","K3Pu+F+I+G4","I+G4",-8103.8404,-6807.4314,"K3Pu{1,2.8512,0.6695,0.6695,2.8512,1}+F{0.3397,0.1595,0.1779,0.3229}",16467.6809,16503.2713,17116.6534,"Mixture",1088,63,0.385110294117647,"40.72%",755,68,0.5667,97.5434,10.538,154.7773,283.4295,NA,"2.604","1.0281","0.3948","0","0.0037","0.011","0.0215","0.0296","0.2331"
"Mixture","UCE-274","TPM2u+FO+R2","R2",-6943.4178,-6024.7724,"TPM2u{0.6903,3.2961,0.6903,1,3.2961,1}+FO{0.2853,0.1779,0.2256,0.3113}",14130.8356,14162.5944,14737.6079,"Mixture",1068,59,0.467228464419476,"30.24%",612,74,0.6607,89.8991,10.4288,178.3255,258.9922,NA,"2.2562","0.58","0.2571","0","0.0015","0.009","0.0203","0.0233","0.2874"
"One_class","UCE-274","TPM2u+F+R3","R3",-6939.317,-6024.7724,"TPM2u{0.6739,3.2934,0.6739,1,3.2934,1}+F{0.2893,0.1727,0.2257,0.3124}",14126.634,14159.5078,14743.3534,"Mixture",1068,59,0.467228464419476,"30.24%",612,74,0.6607,89.8289,10.4165,176.437,258.7967,NA,"2.3354","0.5891","0.2522","0","0.0015","0.0087","0.0196","0.0227","0.2707"
"Mixture","UCE-2735","TPM3u+FO+I+G4","I+G4",-9229.4396,-6280.0128,"TPM3u{1.5057,4.6829,1,1.5057,4.6829,1}+FO{0.294,0.1722,0.1984,0.3354}",18786.8792,18851.0024,19593.2204,"Mixture",1009,80,0.353815659068385,"45.69%",741,118,0.7662,115.4292,11.041,416.4901,359.8219,NA,"3.1939","1.1175","0.3499","0","0","0.0101","0.0204","0.0244","0.2643"
"One_class","UCE-2735","TPM3u+F+I+G4","I+G4",-9232.4286,-6280.0128,"TPM3u{1.482,4.6861,1,1.482,4.6861,1}+F{0.3066,0.175,0.1873,0.3311}",18792.8573,18856.9805,19599.1985,"Mixture",1009,80,0.353815659068385,"45.69%",741,120,0.7792,115.3123,11.0346,348.9585,359.6933,NA,"3.1978","1.0561","0.3303","0","0","0.0102","0.0203","0.0241","0.2643"
"Mixture","UCE-2762","MIX{HKY+FO,JC+FO}+G","G4",-7457.3399,-6076.8744,"HKY{4.93014}+FO{0.331842,0.164298,0.198586,0.305273};JC",14964.6799,14965.8123,15091.3842,"Mixture",1174,11,0.39267461669506,"35.35%",612,4,0.25,20.1553,5.3038,6.4807,40.0556,NA,"1.9705","0.4995","0.2535","0.0108","0.0301","0.0673","0.1013","0.1468","0.299"
"One_class","UCE-2762","HKY+F+G4","G4",-7464.0678,-6076.8744,"HKY{1,3.7224,1,1,3.7224,1}+F{0.3259,0.174,0.1904,0.3097}",14976.1357,14977.18,15097.7718,"Mixture",1174,11,0.39267461669506,"35.35%",612,4,0.25,20.2013,5.3155,6.4807,40.1409,NA,"1.9255","0.4867","0.2528","0.0109","0.0297","0.0685","0.1037","0.1492","0.3099"
"Mixture","UCE-2765","MIX{K3Pu+FO,JC+FO}+R2","R2",-10351.6362,-7715.9154,"K3Pu{3.53957,0.670605}+FO{0.324665,0.201047,0.183172,0.291116};JC",20781.2723,20783.9008,20980.6531,"Mixture",1227,17,0.276283618581907,"50.37%",920,4,0.1429,34.6768,7.1513,9.0554,87.7453,NA,"2.4955","0.854","0.3422","0.0033","0.0239","0.05","0.0792","0.1151","0.2704"
"One_class","UCE-2765","TVM+F+R2","R2",-10351.9123,-7715.9154,"TVM{0.9391,2.754,0.5913,1.0103,2.754,1}+F{0.3198,0.1989,0.1838,0.2975}",20783.8245,20786.5901,20988.3176,"Mixture",1227,17,0.276283618581907,"50.37%",920,4,0.1429,34.7242,7.1598,9.0554,87.8228,NA,"2.4563","0.8447","0.3439","0.0032","0.023","0.05","0.0805","0.1175","0.2757"
