"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","real_base_freq","GMM_pro","GMM_mean","GMM_num_class","RF_distance","nRF_distance","wRF_distance","KF_distance","SPR_distance","path_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"One_class","UCE-257","TN+F+I+R2","I+R2",-9787.6148,-8617.5521,"TN{1,3.4358,1,1,2.7303,1}+F{0.3246,0.1657,0.1849,0.3248}",19813.2295,19836.041,20434.8885,"Mixture",1372,57,0.444606413994169,"37.24%",902,"0.1376;0.0696;0.0778;0.1377;0.5774","0.0625;0.167;0.1202;0.0546;0.188;0.1223;0.1428;0.1042;0.0385","0.0218;0.1351;0.2442;0.385;0.5316;0.6694;0.8059;0.9484;1.0701",9,86,0.7818,3.5622,0.4809,18,5.2879,NA,"3.2837","1.3844","0.4216","0","0","0.0122","0.0294","0.0393","0.1968"
"Mixture","UCE-2586","TPM3u+FO+G4","G4",-9747.0278,-8149.2223,"TPM3u{1.9314,4.2781,1,1.9314,4.2781,1}+FO{0.3114,0.1787,0.1792,0.3307}",19732.0555,19754.3158,20356.3733,"Mixture",1403,58,0.461154668567356,"35.57%",822,"0.1104;0.0647;0.0692;0.1313;0.6244","0.0857;0.1522;0.0504;0.0563;0.2643;0.1048;0.1411;0.1035;0.0417","0.0088;0.1202;0.2155;0.3411;0.526;0.639;0.763;0.8824;1.0261",9,84,0.75,4.4224,0.5669,17,7.0241,NA,"4.1107","1.7676","0.43","0","0","0.0191","0.0357","0.0502","0.3191"
"One_class","UCE-2586","TPM3u+F+G4","G4",-9751.0428,-8149.2223,"TPM3u{2.0855,4.3929,1,2.0855,4.3929,1}+F{0.2929,0.1741,0.1857,0.3473}",19740.0856,19762.3459,20364.4034,"Mixture",1403,58,0.461154668567356,"35.57%",822,"0.1104;0.0647;0.0692;0.1313;0.6244","0.0857;0.1522;0.0504;0.0563;0.2643;0.1048;0.1411;0.1035;0.0417","0.0088;0.1202;0.2155;0.3411;0.526;0.639;0.763;0.8824;1.0261",9,82,0.7321,4.407,0.5624,17,6.8657,NA,"4.0741","1.7271","0.4239","0","0","0.0194","0.0361","0.0495","0.3222"
"Mixture","UCE-2595","HKY+FO+R2","R2",-9608.7632,-10382.8097,"HKY{1,3.3091,1,1,3.3091,1}+FO{0.2695,0.2231,0.2083,0.2991}",19263.5263,19264.0984,19391.8119,"Mixture",1954,10,0.530706243602866,"25.64%",888,"0.1583;0.1355;0.1251;0.1796;0.4016","0.1522;0.354;0.1106;0.0883;0.1308;0.0993;0.0648","0.0057;0.3437;0.4775;0.7356;0.95;1.2667;1.617",7,4,0.25,0.5936,0.1891,2,0.5052,NA,"2.3558","0.5763","0.2446","0","0.0448","0.1018","0.1309","0.2126","0.3189"
"One_class","UCE-2595","HKY+F+R2","R2",-9609.038,-10382.8097,"HKY{1,3.3013,1,1,3.3013,1}+F{0.2645,0.2264,0.209,0.3001}",19264.0761,19264.6481,19392.3617,"Mixture",1954,10,0.530706243602866,"25.64%",888,"0.1583;0.1355;0.1251;0.1796;0.4016","0.1522;0.354;0.1106;0.0883;0.1308;0.0993;0.0648","0.0057;0.3437;0.4775;0.7356;0.95;1.2667;1.617",7,4,0.25,0.5933,0.1893,2,0.5057,NA,"2.357","0.5765","0.2446","0","0.0447","0.1017","0.1309","0.2124","0.3189"
"Mixture","UCE-258","MIX{TPM3u+FO,K80+FO,JC+FO}+G","G4",-6387.7784,-6806.6734,"TPM3u{3.70351,5.31951}+FO{0.346266,0.0902115,0.129836,0.433687};K2P{10.8501}+FQ;JC",12951.5567,12964.4066,13407.0671,"Mixture",1308,41,0.624617737003058,"22.25%",565,"0.1937;0.1117;0.1301;0.2027;0.3617","0.1886;0.1133;0.1068;0.0608;0.2286;0.1509;0.1086;0.0424","0.0183;0.0183;0.1362;0.3299;0.5133;0.6998;0.9223;1.1576",8,38,0.4872,2.8972,0.5056,9,8.4376,NA,"1.2444","0.532","0.4275","0","0.0032","0.0068","0.0152","0.0198","0.1462"
"One_class","UCE-258","TPM3u+F+G4","G4",-6401.3977,-6806.6734,"TPM3u{1.5079,4.7958,1,1.5079,4.7958,1}+F{0.3035,0.1751,0.2038,0.3176}",12972.7953,12984.7593,13412.777,"Mixture",1308,41,0.624617737003058,"22.25%",565,"0.1937;0.1117;0.1301;0.2027;0.3617","0.1886;0.1133;0.1068;0.0608;0.2286;0.1509;0.1086;0.0424","0.0183;0.0183;0.1362;0.3299;0.5133;0.6998;0.9223;1.1576",8,38,0.4872,2.9141,0.512,9,8.5632,NA,"1.2157","0.5177","0.4258","0","0.0033","0.0067","0.0156","0.0195","0.153"
"Mixture","UCE-2582","TVM+FO+I+G4","I+G4",-12997.4727,-11080.8427,"TVM{1.0939,3.3342,0.8322,1.7859,3.3342,1}+FO{0.2833,0.184,0.1716,0.3611}",26274.9453,26301.3181,27031.1177,"Mixture",1638,67,0.344322344322344,"42.86%",1220,"0.0948;0.0497;0.0528;0.1124;0.6902","0.2243;0.1685;0.6029;0.0043","0.0741;0.2407;0.653;1.2715",4,96,0.7385,4.8586,0.5436,22,6.0743,NA,"4.892","1.8395","0.376","0","0","0.0179","0.0375","0.0486","0.3336"
"One_class","UCE-2582","TVM+F+I+G4","I+G4",-13005.8761,-11080.8427,"TVM{1.1262,3.3926,0.7954,1.9474,3.3926,1}+F{0.3032,0.1651,0.1746,0.357}",26291.7523,26318.125,27047.9246,"Mixture",1638,67,0.344322344322344,"42.86%",1220,"0.0948;0.0497;0.0528;0.1124;0.6902","0.2243;0.1685;0.6029;0.0043","0.0741;0.2407;0.653;1.2715",4,94,0.7231,4.7085,0.5315,20,5.8447,NA,"4.9485","1.8671","0.3773","0","0","0.0174","0.0371","0.0484","0.3361"
"Mixture","UCE-2591","TPM2u+FO+G4","G4",-7574.7919,-8275.1777,"TPM2u{0.6471,2.9278,0.6471,1,2.9278,1}+FO{0.2932,0.1875,0.2056,0.3137}",15343.5837,15358.7811,15848.6742,"Mixture",1349,47,0.428465530022239,"27.65%",843,"0.0938;0.0465;0.0632;0.0888;0.7076","0.1443;0.1343;0.1228;0.5652;0.0234;0.0101","0.1624;0.1624;0.462;0.462;0.8571;1.2743",6,66,0.7333,3.0777,0.4126,13,4.3611,NA,"4.1689","1.3897","0.3333","0","0.0072","0.0323","0.0451","0.0678","0.2488"
"One_class","UCE-2591","TPM2u+F+G4","G4",-7582.8821,-8275.1777,"TPM2u{0.6256,2.8657,0.6256,1,2.8657,1}+F{0.3165,0.1647,0.2184,0.3004}",15359.7641,15374.9615,15864.8546,"Mixture",1349,47,0.428465530022239,"27.65%",843,"0.0938;0.0465;0.0632;0.0888;0.7076","0.1443;0.1343;0.1228;0.5652;0.0234;0.0101","0.1624;0.1624;0.462;0.462;0.8571;1.2743",6,66,0.7333,3.068,0.4103,15,4.3666,NA,"4.1501","1.3842","0.3335","0","0.0071","0.0324","0.0453","0.0676","0.254"
"Mixture","UCE-2594","MIX{TPM2u+FO,F81+FO,F81+FO}+I+G","I+G4",-15237.6255,-13127.4341,"TPM2u{0.617969,2.19397}+FO{0.264021,0.18703,0.18709,0.361858};F81+FO{0.378982,0.205568,0.0265556,0.388895};F81+FO{0.527421,0.0775434,0.349561,0.0454743}",30567.2509,30569.592,30822.3875,"One_class",1894,17,0.295670538542767,"46.78%",1465,"0.1759;0.1007;0.1112;0.1841;0.4281","0.0595;0.1967;0.1266;0.1246;0.0932;0.1292;0.1362;0.0828;0.0512","0.0045;0.2622;0.4898;0.7014;0.8729;1.0329;1.2495;1.4803;1.7381",9,12,0.4286,5.6879,1.6194,4,8.5173,NA,"7.2459","1.6463","0.2272","7e-04","0.0333","0.1424","0.2136","0.2521","0.8581"
"One_class","UCE-2594","TPM2u+F+I+G4","I+G4",-15264.9238,-13127.4341,"TPM2u{0.6954,2.4987,0.6954,1,2.4987,1}+F{0.3075,0.1761,0.1946,0.3218}",30605.8476,30607.4454,30816.6125,"One_class",1894,17,0.295670538542767,"46.78%",1465,"0.1759;0.1007;0.1112;0.1841;0.4281","0.0595;0.1967;0.1266;0.1246;0.0932;0.1292;0.1362;0.0828;0.0512","0.0045;0.2622;0.4898;0.7014;0.8729;1.0329;1.2495;1.4803;1.7381",9,12,0.4286,4.4969,1.2352,4,7.4206,NA,"6.6215","1.7285","0.261","0.0015","0.0324","0.121","0.2337","0.2568","1.1532"
"Mixture","UCE-2592","TPM2u+FO+I+G4","I+G4",-9456.7321,-8670.9055,"TPM2u{0.733,2.4313,0.733,1,2.4313,1}+FO{0.3108,0.204,0.1766,0.3086}",19125.4642,19143.5104,19678.591,"One_class",1364,51,0.364369501466276,"37.83%",944,"0.0935;0.0681;0.0608;0.0937;0.684","0.1143;0.0841;0.0673;0.0818;0.1576;0.1412;0.2007;0.1113;0.0418","0.011;0.1171;0.2246;0.3256;0.4717;0.5745;0.6706;0.7649;0.8679",9,84,0.8571,4.0379,0.4943,20,6.7766,NA,"3.7355","1.5957","0.4272","0","0","0.0157","0.0384","0.0507","0.3761"
"One_class","UCE-2592","HKY+F+I+G4","I+G4",NA,NA,"HKY{1,2.8593,1,1,2.8593,1}+F{0.2936,0.2172,0.1951,0.2942}",-8670.9055,105,19138.1217,"One_class",1364,51,0.364369501466276,"37.83%",944,"0.0935;0.0681;0.0608;0.0937;0.684","0.1143;0.0841;0.0673;0.0818;0.1576;0.1412;0.2007;0.1113;0.0418","0.011;0.1171;0.2246;0.3256;0.4717;0.5745;0.6706;0.7649;0.8679",9,84,0.8571,3.9818,0.5244,20,6.0089,NA,"3.8356","1.3516","0.3524","0","0","0.0151","0.0374","0.0543","0.3147"
"Mixture","UCE-2598","HKY+FO+G4","G4",-7184.2288,-7455.8746,"HKY{1,4.1735,1,1,4.1735,1}+FO{0.3043,0.1771,0.1865,0.3321}",14588.4576,14609.4551,15154.9485,"Mixture",1274,54,0.521978021978022,"28.41%",723,"0.1281;0.0711;0.0837;0.1369;0.5803","0.0586;0.1228;0.1158;0.063;0.1528;0.1964;0.1556;0.0947;0.0402","0.0061;0.127;0.2466;0.3476;0.5127;0.5158;0.6571;0.773;0.897",9,76,0.7308,3.0591,0.4298,16,5.8681,NA,"2.9872","1.0051","0.3365","0","0","0.012","0.0283","0.0298","0.2737"
"One_class","UCE-2598","HKY+F+G4","G4",-7185.8795,-7455.8746,"HKY{1,4.1627,1,1,4.1627,1}+F{0.3046,0.1704,0.1999,0.3251}",14591.7589,14612.7563,15158.2498,"Mixture",1274,54,0.521978021978022,"28.41%",723,"0.1281;0.0711;0.0837;0.1369;0.5803","0.0586;0.1228;0.1158;0.063;0.1528;0.1964;0.1556;0.0947;0.0402","0.0061;0.127;0.2466;0.3476;0.5127;0.5158;0.6571;0.773;0.897",9,74,0.7115,3.0576,0.43,18,5.8513,NA,"2.996","1.0075","0.3363","0","0","0.0119","0.0282","0.0296","0.2735"
"Mixture","UCE-2609","MIX{HKY+FO,JC+FO,K80+FO}+I+G","I+G4",-9704.4547,-10022.3812,"HKY{3.35528}+FO{0.290035,0.156201,0.200436,0.353329};JC;K2P{43.5613}+FQ",19484.9093,19486.8241,19688.9542,"One_class",1587,16,0.374921235034657,"36.61%",1030,"0.2018;0.1107;0.1396;0.2442;0.3038","0.1859;0.061;0.1393;0.1292;0.068;0.0858;0.079;0.0597;0.1921","0.0107;0.2431;0.3566;0.5113;0.6234;0.7372;0.8743;1.0157;1.2306",9,8,0.2857,0.8668,0.276,2,1.1596,NA,"2.7178","0.9859","0.3628","0","0.0104","0.0448","0.0874","0.1103","0.3433"
"One_class","UCE-2609","TPM3u+F+I+G4","I+G4",-9709.8328,-10022.3812,"TPM3u{1.3592,4.1294,1,1.3592,4.1294,1}+F{0.2898,0.159,0.2005,0.3507}",19491.6657,19493.3844,19684.9713,"One_class",1587,16,0.374921235034657,"36.61%",1030,"0.2018;0.1107;0.1396;0.2442;0.3038","0.1859;0.061;0.1393;0.1292;0.068;0.0858;0.079;0.0597;0.1921","0.0107;0.2431;0.3566;0.5113;0.6234;0.7372;0.8743;1.0157;1.2306",9,8,0.2857,0.851,0.2591,2,1.0508,NA,"2.6215","0.9469","0.3612","0","0.0104","0.0447","0.0906","0.1137","0.3618"
"Mixture","UCE-2605","TPM2u+FO+G4","G4",-9652.389,-8986.4384,"TPM2u{0.6121,2.7997,0.6121,1,2.7997,1}+FO{0.3355,0.1789,0.1838,0.3019}",19474.778,19484.7985,19928.9142,"Mixture",1545,41,0.528802588996764,"30.87%",837,"0.1584;0.0915;0.0945;0.1458;0.5099","0.1857;0.1951;0.0481;0.0382;0.176;0.1327;0.1221;0.0822;0.0199","0.0027;0.1374;0.2742;0.3773;0.5194;0.7098;0.9272;1.1157;1.3295",9,32,0.4103,1.3191,0.2268,10,2.1232,NA,"2.95","1.1531","0.3909","0","0.0053","0.016","0.0369","0.0402","0.3063"
"One_class","UCE-2605","TPM2u+F+G4","G4",-9654.2758,-8986.4384,"TPM2u{0.6679,2.8925,0.6679,1,2.8925,1}+F{0.3228,0.187,0.1931,0.2972}",19478.5515,19488.5721,19932.6878,"Mixture",1545,41,0.528802588996764,"30.87%",837,"0.1584;0.0915;0.0945;0.1458;0.5099","0.1857;0.1951;0.0481;0.0382;0.176;0.1327;0.1221;0.0822;0.0199","0.0027;0.1374;0.2742;0.3773;0.5194;0.7098;0.9272;1.1157;1.3295",9,32,0.4103,1.3206,0.2271,10,2.1427,NA,"2.9491","1.1512","0.3904","0","0.0053","0.0158","0.0369","0.0399","0.3057"
"Mixture","UCE-2606","MIX{K3P,JC+FO}+I+G","I+G4",-15134.2463,-12384.4522,"K3P{4.35634,0.505639}+FQ;JC",30336.4926,30337.8699,30522.6348,"Mixture",1763,16,0.239364719228588,"53.09%",1448,"0.148;0.1318;0.1437;0.1617;0.4148","0.0762;0.1252;0.1256;0.135;0.1868;0.1578;0.1398;0.0538","0.0092;0.2932;0.4902;0.7276;0.978;1.2499;1.4781;1.7195",8,12,0.4286,4.3063,1.1083,3,10.1247,NA,"6.8557","2.4887","0.363","0","0.0677","0.151","0.2158","0.2825","0.6726"
"One_class","UCE-2606","K3P+I+G4","I+G4",-15154.5154,-12384.4522,"K3P{1,2.5496,0.7414,0.7414,2.5496,1}+I{0.25,0.25,0.25,0.25}",30375.0308,30376.3286,30555.6982,"Mixture",1763,16,0.239364719228588,"53.09%",1448,"0.148;0.1318;0.1437;0.1617;0.4148","0.0762;0.1252;0.1256;0.135;0.1868;0.1578;0.1398;0.0538","0.0092;0.2932;0.4902;0.7276;0.978;1.2499;1.4781;1.7195",8,12,0.4286,3.9261,1.0026,3,8.9537,NA,"6.4754","2.3163","0.3577","0","0.078","0.1545","0.2285","0.2964","0.7345"
"Mixture","UCE-2613","MIX{HKY+FO,JC+FO}+R2","R2",-8956.4226,-9489.5046,"HKY{4.79255}+FO{0.283759,0.21396,0.21456,0.287721};JC",17964.8452,17965.7569,18104.1251,"Mixture",1567,11,0.398213146139119,"33.18%",918,"0.1934;0.1526;0.1619;0.1908;0.3013","0.1952;0.1383;0.161;0.0763;0.1354;0.1257;0.0951;0.0506;0.0223","0.0049;0.317;0.4734;0.693;0.8454;1.0172;1.2951;1.4997;1.7471",9,4,0.2222,1.0545,0.3077,1,1.0533,NA,"2.5018","0.8393","0.3355","0","0.0364","0.0827","0.1233","0.1455","0.3929"
"One_class","UCE-2613","HKY+F+R2","R2",-8960.3368,-9489.5046,"HKY{1,3.5722,1,1,3.5722,1}+F{0.2768,0.2184,0.2317,0.2731}",17970.6737,17971.5173,18104.5966,"Mixture",1567,11,0.398213146139119,"33.18%",918,"0.1934;0.1526;0.1619;0.1908;0.3013","0.1952;0.1383;0.161;0.0763;0.1354;0.1257;0.0951;0.0506;0.0223","0.0049;0.317;0.4734;0.693;0.8454;1.0172;1.2951;1.4997;1.7471",9,4,0.2222,1.0263,0.2994,1,1.0078,NA,"2.4655","0.8223","0.3335","0","0.0365","0.0827","0.1251","0.1472","0.4056"
"Mixture","UCE-2599","TPM2u+FO+R3","R3",-12385.0396,-10688.9182,"TPM2u{0.6128,2.3205,0.6128,1,2.3205,1}+FO{0.3695,0.1779,0.159,0.2936}",25038.0791,25062.6079,25759.5337,"Mixture",1610,66,0.374534161490683,"42.67%",1165,"0.1146;0.0585;0.0547;0.0912;0.681","0.2325;0.2357;0.0561;0.4757","0.0705;0.2991;0.5166;0.7403",4,102,0.8226,6.715,1.1225,24,16.2571,NA,"6.1646","3.0761","0.499","0","0","0.0081","0.0474","0.051","0.7908"
"One_class","UCE-2599","TPM2u+F+I+R2","I+R2",-12396.5053,-10688.9182,"TPM2u{0.7041,2.4324,0.7041,1,2.4324,1}+F{0.3543,0.1863,0.1745,0.285}",25059.0106,25083.1596,25775.0812,"Mixture",1610,66,0.374534161490683,"42.67%",1165,"0.1146;0.0585;0.0547;0.0912;0.681","0.2325;0.2357;0.0561;0.4757","0.0705;0.2991;0.5166;0.7403",4,98,0.7903,6.5001,1.0675,23,13.7594,NA,"5.9698","2.9734","0.4981","0","0","0.0096","0.0489","0.0538","0.8481"
"Mixture","UCE-2600","HKY+FO+I+R2","I+R2",-7901.4291,-8102.7633,"HKY{1,3.1822,1,1,3.1822,1}+FO{0.2573,0.2198,0.196,0.3269}",16106.8581,16145.5215,16899.1269,"Mixture",1356,74,0.508849557522124,"24.04%",788,"0.1058;0.0924;0.0807;0.1203;0.6008","0.1566;0.0886;0.1489;0.1077;0.3406;0.1429;0.0147","0.1088;0.1147;0.3088;0.5091;0.5102;0.702;1.0073",7,112,0.7778,5.1937,0.6899,24,15.3169,NA,"3.166","0.7158","0.2261","0","0","0.0085","0.0213","0.0173","0.4265"
"One_class","UCE-2600","TPM3u+F+G4","G4",-7906.6836,-8102.7633,"TPM3u{0.7227,2.7441,1,0.7227,2.7441,1}+F{0.2648,0.2317,0.2028,0.3006}",16115.3672,16153.4935,16902.4237,"Mixture",1356,74,0.508849557522124,"24.04%",788,"0.1058;0.0924;0.0807;0.1203;0.6008","0.1566;0.0886;0.1489;0.1077;0.3406;0.1429;0.0147","0.1088;0.1147;0.3088;0.5091;0.5102;0.702;1.0073",7,114,0.7917,5.2284,0.7018,27,15.5199,NA,"3.1066","0.6941","0.2234","0","0","0.0086","0.0217","0.0181","0.4097"
"Mixture","UCE-2621","MIX{TPM2u+FO,HKY+FO}+I+G","I+G4",-7891.0808,-7971.0629,"TPM2u{0.383932,2.39273}+FO{0.35037,0.140547,0.258656,0.250426};HKY{4.14}+FO{0.413011,0.191313,0.0355732,0.360103}",15872.1616,15875.102,16109.8549,"Mixture",1454,18,0.518569463548831,"28.13%",769,"0.2907;0.113;0.134;0.2294;0.2328","0.3181;0.0144;0.1857;0.1248;0.1506;0.121;0.0669;0.0185","0.0085;0.0085;0.2798;0.4902;0.7124;0.9843;1.2827;1.6111",8,12,0.375,1.5242,0.3946,3,3.5713,NA,"1.5736","0.5817","0.3697","0","0.0117","0.0285","0.0452","0.071","0.1792"
"One_class","UCE-2621","TPM2u+F+I+G4","I+G4",-7909.8764,-7971.0629,"TPM2u{0.6369,2.8681,0.6369,1,2.8681,1}+F{0.3789,0.1473,0.1747,0.299}",15899.7528,15902.0741,16111.0357,"Mixture",1454,18,0.518569463548831,"28.13%",769,"0.2907;0.113;0.134;0.2294;0.2328","0.3181;0.0144;0.1857;0.1248;0.1506;0.121;0.0669;0.0185","0.0085;0.0085;0.2798;0.4902;0.7124;0.9843;1.2827;1.6111",8,10,0.3125,1.5552,0.4023,3,3.6729,NA,"1.5373","0.5676","0.3692","0","0.0115","0.0292","0.0463","0.0726","0.1866"
"Mixture","UCE-2618","TPM3u+FO+G4","G4",-9931.6268,-9635.6233,"TPM3u{1.5694,3.6382,1,1.5694,3.6382,1}+FO{0.3036,0.1797,0.2017,0.3151}",20049.2536,20061.823,20542.4484,"Mixture",1485,45,0.312457912457912,"37.17%",1032,"0.0905;0.0532;0.0558;0.1048;0.6957","0.076;0.1346;0.054;0.0668;0.1561;0.1841;0.1822;0.1063;0.0398","0.006;0.1342;0.2289;0.3602;0.4988;0.6213;0.7458;0.8565;0.9655",9,70,0.814,5.4121,1.2079,15,10.8601,NA,"5.3151","1.5916","0.2994","0","0","0.0147","0.0604","0.0626","1.0261"
"One_class","UCE-2618","TPM3u+F+G4","G4",-9937.4177,-9635.6233,"TPM3u{1.6965,3.7933,1,1.6965,3.7933,1}+F{0.2948,0.1789,0.187,0.3393}",20060.8355,20073.4048,20554.0303,"Mixture",1485,45,0.312457912457912,"37.17%",1032,"0.0905;0.0532;0.0558;0.1048;0.6957","0.076;0.1346;0.054;0.0668;0.1561;0.1841;0.1822;0.1063;0.0398","0.006;0.1342;0.2289;0.3602;0.4988;0.6213;0.7458;0.8565;0.9655",9,68,0.7907,5.3052,1.2222,16,10.9895,NA,"5.3174","1.4702","0.2765","0","0","0.015","0.0604","0.058","0.9631"
"Mixture","UCE-25","TPM3u+FO+I+G4","I+G4",-11593.451,-10684.3865,"TPM3u{1.6302,4.6288,1,1.6302,4.6288,1}+FO{0.3167,0.2088,0.1884,0.2861}",23554.902,23601.5961,24549.2894,"Mixture",1643,90,0.443091905051735,"31.95%",1101,"0.1246;0.0703;0.0633;0.1081;0.6336","0.0883;0.1197;0.089;0.1499;0.0827;0.2575;0.1606;0.0441;0.0083","0.0894;0.0894;0.0894;0.2525;0.4992;0.4992;0.6728;0.8819;1.2336",9,134,0.7614,5.4428,0.651,29,10.1386,NA,"4.7551","1.577","0.3316","0","0.0018","0.0124","0.0257","0.0298","0.4531"
"One_class","UCE-25","TPM3u+F+I+R2","I+R2",-11599.886,-10684.3865,"TPM3u{1.7449,4.7883,1,1.7449,4.7883,1}+F{0.3378,0.1935,0.1747,0.294}",23569.7719,23617.006,24569.5636,"Mixture",1643,90,0.443091905051735,"31.95%",1101,"0.1246;0.0703;0.0633;0.1081;0.6336","0.0883;0.1197;0.089;0.1499;0.0827;0.2575;0.1606;0.0441;0.0083","0.0894;0.0894;0.0894;0.2525;0.4992;0.4992;0.6728;0.8819;1.2336",9,132,0.75,5.3281,0.6788,31,10.3111,NA,"4.5749","1.3325","0.2913","0","0.0024","0.0134","0.0267","0.0314","0.3369"
"Mixture","UCE-260","TVM+FO+I+R2","I+R2",-12031.278,-10376.5233,"TVM{0.8495,2.8732,0.6393,1.4617,2.8732,1}+FO{0.2962,0.1815,0.1879,0.3345}",24336.556,24363.5645,25067.8946,"Mixture",1538,65,0.362158647594278,"41.03%",1152,"0.1133;0.0631;0.0649;0.1206;0.6382","0.2563;0.0277;0.1635;0.5525","0.103;0.244;0.2997;0.7056",4,106,0.8413,4.7295,0.5469,23,6.8799,NA,"4.0282","1.7067","0.4237","0","0.0041","0.0155","0.0311","0.0398","0.2693"
"One_class","UCE-260","TVM+F+I+R2","I+R2",-12034.847,-10376.5233,"TVM{0.8075,2.8293,0.6035,1.5222,2.8293,1}+F{0.3114,0.1764,0.1812,0.331}",24343.6941,24370.7027,25075.0327,"Mixture",1538,65,0.362158647594278,"41.03%",1152,"0.1133;0.0631;0.0649;0.1206;0.6382","0.2563;0.0277;0.1635;0.5525","0.103;0.244;0.2997;0.7056",4,106,0.8413,4.5569,0.53,24,6.7115,NA,"3.9793","1.6465","0.4138","0","0.0041","0.018","0.0315","0.0401","0.2751"
"Mixture","UCE-2612","TPM3u+FO+G4","G4",-12242.0039,-10357.5563,"TPM3u{1.4169,3.9953,1,1.4169,3.9953,1}+FO{0.306,0.2132,0.2085,0.2723}",24690.0078,24704.4639,25243.0117,"Mixture",1586,50,0.361916771752837,"42.81%",1099,"0.1122;0.0665;0.0672;0.1018;0.6523","0.089;0.1819;0.0607;0.0576;0.1152;0.1374;0.1355;0.151;0.0718","0.0083;0.1244;0.2403;0.3719;0.5301;0.6623;0.7848;0.9159;1.0885",9,62,0.6458,3.4129,0.4824,13,5.8607,NA,"4.3243","1.6767","0.3877","0","0","0.0218","0.0437","0.0557","0.3124"
"One_class","UCE-2612","TPM3u+F+G4","G4",-12250.2068,-10357.5563,"TPM3u{1.6475,4.3395,1,1.6475,4.3395,1}+F{0.3204,0.1931,0.1952,0.2912}",24706.4136,24720.8698,25259.4176,"Mixture",1586,50,0.361916771752837,"42.81%",1099,"0.1122;0.0665;0.0672;0.1018;0.6523","0.089;0.1819;0.0607;0.0576;0.1152;0.1374;0.1355;0.151;0.0718","0.0083;0.1244;0.2403;0.3719;0.5301;0.6623;0.7848;0.9159;1.0885",9,64,0.6667,3.4053,0.4786,14,5.7618,NA,"4.2785","1.6621","0.3885","0","0","0.0225","0.0441","0.0572","0.3185"
"Mixture","UCE-2620","HKY+FO+G4","G4",-9530.7863,-11115.13,"HKY{1,3.3373,1,1,3.3373,1}+FO{0.2836,0.2258,0.2047,0.286}",19257.5727,19269.6174,19791.109,"Mixture",1710,48,0.396491228070175,"26.73%",1076,"0.0659;0.052;0.0494;0.0533;0.7794","0.3539;0.6291;0.0171","0.1409;0.5053;0.984",3,58,0.6304,4.5034,0.8613,14,6.634,NA,"4.9103","1.5275","0.3111","0","0","0.0188","0.052","0.0523","0.6961"
"One_class","UCE-2620","TPM3u+F+G4","G4",-9544.8473,-11115.13,"TPM3u{0.749,2.8748,1,0.749,2.8748,1}+F{0.2921,0.2378,0.2274,0.2428}",19287.6946,19299.9927,19826.6752,"Mixture",1710,48,0.396491228070175,"26.73%",1076,"0.0659;0.052;0.0494;0.0533;0.7794","0.3539;0.6291;0.0171","0.1409;0.5053;0.984",3,56,0.6087,4.4923,0.8555,14,6.5918,NA,"4.8886","1.524","0.3117","0","0","0.0188","0.0522","0.0522","0.7016"
"Mixture","UCE-2611","HKY+FO+G4","G4",-9291.4512,-8592.3687,"HKY{1,2.8248,1,1,2.8248,1}+FO{0.3032,0.2198,0.1736,0.3034}",18858.9024,18889.6181,19581.4178,"Mixture",1388,70,0.437319884726225,"34.44%",887,"0.1092;0.0862;0.064;0.1019;0.6386","0.2391;0.1201;0.3822;0.1911;0.0675","0.0743;0.281;0.5347;0.7321;0.8963",5,120,0.9091,4.3026,0.4586,26,8.3308,NA,"3.1969","1.0574","0.3308","0","0","0.0114","0.0238","0.0292","0.2006"
"One_class","UCE-2611","HKY+F+G4","G4",-9295.2966,-8592.3687,"HKY{1,2.7829,1,1,2.7829,1}+F{0.3011,0.2385,0.1788,0.2816}",18866.5933,18897.3091,19589.1087,"Mixture",1388,70,0.437319884726225,"34.44%",887,"0.1092;0.0862;0.064;0.1019;0.6386","0.2391;0.1201;0.3822;0.1911;0.0675","0.0743;0.281;0.5347;0.7321;0.8963",5,120,0.9091,4.2986,0.4604,26,8.1554,NA,"3.1881","1.0443","0.3276","0","0","0.0117","0.0239","0.0292","0.2017"
"Mixture","UCE-2614","K2P+I+G4","I+G4",-12820.0213,-10246.2959,"K2P{1,3.0002,1,1,3.0002,1}+I{0.25,0.25,0.25,0.25}",25876.0427,25895.9322,26505.4165,"Mixture",1531,59,0.310254735467015,"44.61%",1173,"0.0954;0.0775;0.069;0.1051;0.6529","0.0891;0.1146;0.1179;0.0798;0.1637;0.0953;0.1483;0.1229;0.0685","0.014;0.1278;0.2521;0.3825;0.5273;0.6405;0.7599;0.8808;1.0064",9,92,0.807,6.7241,0.9575,20,13.3781,NA,"6.9726","2.5415","0.3645","0","0","0.0203","0.0607","0.082","0.6796"
